,0
187,Do Ice cream - Do Ghante ! Tubelight ke liye Tayyar ? #TubelightOnStarGold @StarGoldIndia https://t.co/tlECbzf5nm
188,Dekhiye Tubelight aaj 1 baje sirf Star Gold par #TubelightOnStarGold @StarGoldIndia https://t.co/3tBA7ZgqAZ
189,Don’t miss #BiggBoss11 tonite on @colorstv at 9pm..
190,"Yakeen ki ek aisi kahaani jo karegi zindagi mein full light! Don't miss #TubelightOnStarGold,2nd Oct at 1 PM.… https://t.co/ZJO5AhMLPZ"
191,Thank u @ajaydevgn #RohitShetty @TusshKapoor @ArshadWarsi @ParineetiChopra @shreyastalpade1 for using… https://t.co/pOu5bhCyvg
192,"Check out my new Dixcy Scott ad . 
https://t.co/vy7EbhZOxt"
193,"More exciting videos on #BeingInTouch Download kiya ki nahi?
Download on: Android : https://t.co/46iizrsz3s iTunes… https://t.co/QALl7mR1du"
194,"Download my app #BeingInTouch on the following links :

Android Store : https://t.co/46iizrK9V0
iTunes Store :… https://t.co/nrf1YaSaRI"
195,The first talent we r looking for is d female lead for SKF's next venture. All the best jaldi se profile bhejo https://t.co/bfKZmyAHox (3/3)
196,"And for all u talented people frm across the globe go to #Audition section, check the requirements &amp; upload your profile video link . (2/3)"
197,A special gift to the #BeingInTouch Family - now I will be scouting for talent on the #BeingInTouch app -… https://t.co/MtTibhavqd
198,"Dekho aur exclusive moments from my trip only on #BeingInTouch #SKinUK - Go download now !

https://t.co/46iizrK9V0 https://t.co/rbXJ7Pw1kj"
199,"More Exclusive moments from #SKinUK .. only on #BeingInTouch . 

Download Now : https://t.co/e7Y9wfSUmO https://t.co/OBsML6TcdZ"
200,Modiji wishing you a very happy birthday . @narendramodi
201,"Special moments from #Birmingham .. Live only on #BeingInTouch . 
Download Now : https://t.co/e7Y9wfSUmO https://t.co/DpUhVBqwf1"
202,How time flies. its Arpita now carrying Ahil at the show. God bless. https://t.co/KNgY2IrrTk
203,This reminds me of 1996 Micheal Jackson concert where I carried Arpita on my shoulders for the entire show… https://t.co/x4wxyhrXmr
204,Ahil and me time ❤ https://t.co/R8MKXV0sPo
205,Hello Birmingham I am here . https://t.co/0FZ65jAtDX
206,Honoured to get the Global Diversity Award at the House of Commons from  British MP Keith Vaz #LondonDiaries… https://t.co/I2GVY6aOvK
207,https://t.co/8xBl143Mxz
208,With Ahil in London over breakfast . https://t.co/1Fwx1vGVFy
209,"Leaving #AbuDhabi after a great schedule of 50 days for #TigerZindaHai, had a wonderful time ."
210,"Mere PRDP ke Bapu has made this film. Please watch .

https://t.co/QC8TPet8NW"
211,"TipsMusic ki beti Raveena workin wit Z Music not Tandon, Taurani.Time flies saw her as child in#JabPyarKisiseHotaHai https://t.co/T2I5Es4X5B"
212,"Yeh dekhiye, yeh lijiye, Heaven on Earth, Kashmir. Love and Peace 

https://t.co/gMdtHlZEGX"
213,Back in UK after 10 years look forward to seeing you all. #SKinUK @lycamobile @lycaradio1458 @BcardArena @Theo2… https://t.co/FBBbuz6G4F
214,"Namaste, Sat Sri Akal, Khem cho, Assalamu alaykum . Eid Mubarak to all"
215,"Everything you wanted to know about my electric bike, the #BeingHumanEcycle . Go check it out . https://t.co/AOdgjFzODw"
216,Back in UK after 10 years look forward to seeing you all. #SKinUK @lycamobile @lycaradio1458 @BcardArena @Theo2… https://t.co/7qEr90Sdlb
217,This Eid a special treat from Splash for all my fans in the Middle East . https://t.co/yxZnHcueKB
218,Phir se yaad dila raha hu . Missed call karo abhi - now . #RallyforRivers https://t.co/U0TIdUJLkb
219,Judwaa 1 tweeting for Judwaa 2 . https://t.co/QHYYmFGWOH
220,"Back in UK after 10 years look forward to seeing you all. #SKinUK @lycamobile @lycaradio1458 @BcardArena 
@Theo2… https://t.co/5o2w94Hant"
221,Please vote for my friends and fav musicians Dmitri Vegas &amp; Like Mike as #1DJ on https://t.co/4NAIxs3RCw https://t.co/NlnYqiegiT
222,Make a difference by being an active participant of the #RallyforRivers movement. Give a missed call aaj..abhi! https://t.co/mFyRLLRmyZ
223,Emotionally dependent on Independence Day 🙂 https://t.co/Vyx3cVu7Kt
224,#HappyIndependenceDay https://t.co/vSNbp3Kruh
225,Shooting for Tiger Zinda hai thank you #AbuDhabi government and all the fans for the incredible love and support .
226,"क्योंकि हिंदी फिल्मों में ही है असली मज़ा ! देखिये  मेरी फिल्में सिर्फ़ @AmazonVideoIN पर #SalmanOnPrimeVideo  
https://t.co/jrjORqJb74"
227,Thank u for all the kind words Tyron Woodley . Really appreciate it best of luck for ur fight today god speed god b… https://t.co/36mR89xSde
