,0
197,The godowns and trucks are not very glamourous but then nor is plastic . Join me tomorrow as we make it disappear o… https://t.co/fU6wq0oSr3
198,Check this out!! Well done people of Kalamboli bringing in so much plastic towards our drive to be #plasticfree! Jo… https://t.co/iI9ALBSjds
199,"My #MumbaikiPlasticSurgery tempo sched to shed ur plastic is:
Bandra- Kala Nagar, Opposite Chetna College (9 am to… https://t.co/cmjupqkhJC"
200,"Congrats Anupamji:) I am one of those who loves to watch you transform and be whoever in the world, on screen :) https://t.co/4gIpDILIcP"
201,I know the exact position in which Salman is sitting in court.Someone on the news just told me that in detail.Our p… https://t.co/nYRNBaoDUq
202,"@Varun_dvn on-air with me right now fresh from Delhi talking of plastic, #October #MumbaiKiPlasticSurgery He’s envi… https://t.co/5thLyv1SHR"
203,Thanks for talking to us about the plastic ban and for the good wishes:) To working well in the future together :)D… https://t.co/20aEyZQ1do
204,A demo of the polyfuel. The one that all the plastic will be used for. You can of course figure ways to recycle you… https://t.co/DyMqmsb2t5
205,"RT @malishkakeboys: Public full support karo , now on our way to Wadala , @mymalishka ke Saath karo #MumbaikiPlasticSurgery @RedFM_Mumbai .…"
206,"Hey Kedar, it’s there right now at Diamond Garden and will be at five gardens in Wadala at 5 pm. A blazing Red Fm p… https://t.co/GjuAJr6L5T"
207,"A chat with the Deputy Municipal Commissioner (Spl implementation plastic ban) Nidhi Chaudhry, #BMC 😊 Such interest… https://t.co/dHHwvYiAlS"
208,Tomorrow’s schedule for #MumbaiKiPlasticSurgery . My van will be there. Hopefully so will you and all the plastic y… https://t.co/4ggNszw9gb
209,All the best to the #HighJack crew! @MrAkvarious cannot wait to see this one that also apart from the very talented… https://t.co/qc9zutPljX
210,#MumbaikiPlasticSurgery . The plastic collecting truck will be at R City Mall soon till 2.30pm. If you’re there fin… https://t.co/ovvGSmYZao
211,Hahaha Just trying to use that ‘influence’  right:) @RedFM_Mumbai #MumbaiKiPlasticSurgery @RedFMIndia https://t.co/KOYqkvYGmN
212,This is just to kick start the city to think of sustainable material in daily use. The polythene bags and the indis… https://t.co/9h0nGiI7dv
213,The tempos for #Mumbaikiplasticsurgery to be recycled into polyfuel have materialised!!मतलब पहला कदम #plasticfree… https://t.co/zubfwjc9Do
214,I love her!!! Thanks for this #MumbaiKiPlasticSurgery . The tempo does its first round to collect your plastic toda… https://t.co/HrgE9DWVrC
