,0
213,"#Aadukalam #Pink #Ghazi 
Hattrick of sorts 😜 
Proud, humbled and blessed! Hoping many more to come 
#NationalFilmAwards"
214,"So so proud to be a part of a film winning National award. #Ghazi 
Love and hugs to my entire team!"
215,@ShoojitSircar Arreeeee partyyyyyyyy!!! Ab toh main bhi divine group mein hu 😎🧚🏼‍♀️
216,Last 3 days of being Rumi..... and I doubt if she will ever leave my system ! #Actorslife #Possessed #Manmarziyaan https://t.co/TrW3IzRMFg
217,Having watched #October only one word comes to my mind “Beautiful” and that’s the feeling it leaves behind… https://t.co/V0o0ZBgyq6
218,Bas ab pata chala itni ghatiya soch aati kahan se Hai. This trash is for real! https://t.co/iFpAqoSJxJ
219,From #AsifaBano in the north to #CauveryIssue in the south....... yeh ho kya raha hai humaare desh mein ????? 😞
220,So now a crime like rape is also basis country n religion... that’s what we have stooped down to with our analysis.… https://t.co/Q5Y4tJziF4
221,👏🏼👏🏼👏🏼👏🏼 https://t.co/E4JprsX9le
222,#equalpayday  #WorkInProgress #DoYourBit 👫 https://t.co/NMZLnSFNiQ
223,Wohoo!!! Go for gold girls!! 🙌🏼💪🏼 https://t.co/bIei9VjyZj
224,It’s an adorable effort! 🤗 https://t.co/51EMu5LW0l
225,#FeelAtHome 😂😂😂 https://t.co/O9XOC5pxR1
226,All the very best @igippygrewal for Subedar Joginder Singh! ਕਦੋਂ ਵਿਖਾ ਰਹੇ ਹੋ ਮੂਵੀ???
227,"Love is surely growing 😍 
@honda2wheelerin https://t.co/NW1JCXlOoi"
228,"From defending the other side of the border to this, I wonder who the real spy is!!! 
It’s a NICE trailer. 🙌🏼 https://t.co/VDnF1Y0hkL"
229,Wohooooo! That’s a big one !! So proud of all u champions ! #GoTeamIndia #CommonwealthGames2018 #Badminton https://t.co/6wntgqHm4h
230,"Who said being black n white is easy! 

#Throwback #ThrownBack #NeverSayNever #ThatLook #portrait https://t.co/XcvREzVroW"
231,👏🏼👏🏼👏🏼👏🏼 https://t.co/fK1FnvyPsA
232,"#Repost @DevsB with get_repost
・・・
04.08.18 #TaapseePannu in varun_bahl radhikasagrawal… https://t.co/szyeY3MOZt"
233,"27 years or more you will always be the first one I will hold, pamper, annoy, irritate, spoil,… https://t.co/WMlUcHJzNS"
234,"U don’t always need wings to fly 🧚🏼‍♀️
📷: @khamkhaArtist 
#Drama #WayOfLife #JustHappy https://t.co/kHoMY8OEHd"
235,"Shine bright like a ...... पटाका ! 
 📷: @colstonjulian1 
#ThrowbackThursday #IifaNewYork https://t.co/R9pEmtFzYs"
236,RT @NIVEA_INDIA: .@taapsee’s search for the perfect shower product ends! Watch this video to know what it is. https://t.co/zF80pQWRVL
237,@SrBachchan Seeeee!! Didn’t I tell u!!!
238,"Dear Ambarsar,
Leaving the ‘मन’ out of my ‘मनमर्ज़ीयाँ’ with you .... take care of it...
Love 
Rumi 
#ScheduleWrap… https://t.co/li4hnIdT1N"
239,From the laughs to tears.... the boomerangs to ‘shadyantra’ ... kulchas to makhaanas.... these… https://t.co/O2HCAlIpT2
240,"It’s an honour @NIVEA_INDIA !
Looking forward to this association :) #Nivea #brandambassador #Humbled #KickStart https://t.co/zhgIEce3ri"
241,"A film that helped me discover A ME that I didn’t know existed. 
#1YearOfNaamShabana https://t.co/ulktQknPDc"
242,And he finally signs out..... #NextChapterInLife #RetiredMan #HighTime https://t.co/CN6Tb8wjzz
243,"🙏🏼
📷: @avigowariker 
#Repost @rohinimanian with get_repost
・・・
And my April cover is out😍. A big… https://t.co/0qdhrHw1Nw"
244,What can I say about these 2 rockstars !!! Just that I am very lucky to have them as my leading men. Love and hugs… https://t.co/n0bHgwOWFa
245,What you get and what you want has a HUGE gap which can be filled only by how intense is your desire to get it.
246,"@msjnationalist Move on. Whatever happens, happens for good n for a reason :)"
247,"This is amazing news guys! Panasonic Smartphones is now live on Snapchat! Follow them for all the exciting, cool an… https://t.co/B90lfxLw7y"
248,@Salilacharya Arre chalo kisiko mera sarcasm samajh aaya
249,"With the number of men who come n say “ my wife is a huge fan of yours, may I have a picture “ I feel we have a nat… https://t.co/SmCAzkzJC8"
250,@AadarshBKrishna 😂😂😂😂
251,When sibling knows the art of self clicking better than you..... just photobomb her picture !… https://t.co/nQxseG6PxJ
252,"We lost A LOT to get the freedom we abuse today 
#ShaheedDiwas #Introspect https://t.co/4ZSFp9Pr7S"
253,@FeminaIndia Thankq 🙏🏼
254,Bas ab life mein aur kya chahiye ! #BestProposalever #VegetarianLove https://t.co/bv0gqywOmC
255,@abhilashthapli Wah wah ! Tereko main employ karne lagi hu.
256,"अपने मन का नहीं किया तो क्या किया ! #Manmarziyaan releasing on 7th September. @juniorbachchan, @vickykaushal09… https://t.co/o6oMl98c6b"
257,So the house shopping is in full swing and I need suggestions regarding bed linen shopping. Help ?
258,"ਸੋ ਕਿਉਂ ਬਿਸਰੈ ਜਿਨ ਸਬ ਕਿਛ ਦੀਆ...

Now one thing is for sure, no one will throw me out of the house on the pretext of… https://t.co/hj2F7mA4Eh"
259,"‘You can close your eyes to the things you don’t want to see, but you can’t close your heart to… https://t.co/dMksxozTux"
260,And he is back!!!!! 😍😍😍😍😍 I am watching thisssssssssssss 😁😁😁😁😁 https://t.co/UbiI1hxArU
261,Seems like courts in France have A LOT of free time. Let’s ship some of our impending cases there 🙄 https://t.co/TSUAqFw7sh
