,0
163,"#RACE3 
WEEK 1 : 138 cr nett 

Business has droppped badly and i wont do 175 cr business. If it does then it will have AVERAGE tag."
164,"@basak_sanam Well, I really don’t know anything about this. Where can i see that"
165,"How was your day guys?
Long time no talk. Lets talk tomm night 10PM. 

#AskPKRK"
166,"Tere jaise mahaan atma jinda hai isiliye Kejriwal jaiso ki daal gal rahi hai.  

Cancer aur khaansi Zukaam me fark… https://t.co/2A88q4diqG"
167,"Kamaal hai @ArvindKejriwal ki,

Mohalla clinics ko world class bolte hai aur khud ilaaj ke liye Bangalore nikalte hai 😂😂😂"
168,Last 24 Hours = 12 Followers and 11 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
169,True that Sanam https://t.co/xjpfN17fwT
170,RT @NathRaviShankar: https://t.co/dS7c0fiNOr
171,"Some good news for #Race3 

Race3 maintained at same level as it was on Wednesday. Collected good 8 cr nett. Drop i… https://t.co/LWyVwjPxGR"
172,"On the eve of #InternationalYogaDay2018
I request everyone to accept YOGA as Integral part of our lives and make ou… https://t.co/ORPyLxVnFl"
173,One must THANK honourable prime minister @narendramodi  for giving #InternationalYogaDay2018 to the world. 🙏🙏
174,RT @Javedakhtarjadu: Those  gau rakshak who killed one n badly battered another man in Hapur should be punished for their barbaric act but…
175,Good morning folks. Waqt kisi ka nahi ho. https://t.co/cgwMgV7EKx
176,"Ye dekho, jinko gaali de ke maidan me jite the unke sath hi Abhi gathbandhan banayenge UTURN specialist… https://t.co/OXYb5bdTOE"
177,"God bless you ka kab “GBU” ho gaya pata hi nahi chala. 😂😂

Sab kuch short me bc 🤪

Good morning"
178,"RT @aliabbaszafar: Bheetar toofan abhi zinda hai , Jazboan mein jaan abhi zinda hai .."
179,"SORRY guys but #RACE3 Is FLOP 😷👎👎👎

Bhai must do good films with GOOD DIRECTORS now on. 🙏🙏"
180,"19 Followed, 8 Unfollowed me (monitored by https://t.co/ZIgtIQhsJR)"
181,"The day @BeingSalmanKhan will become DIRECTORS ACTOR then there is NO LOOKING BACK. 

However, he shd work with dir… https://t.co/KNcGS74V2Y"
182,"@basak_sanam @RahulGandhi What is secular according to you? 
I hate this word secular as no politician is secular.… https://t.co/D3H1TtI9pf"
183,"#Race3 showing HUGE DROP today. Reviews are now catching up slowly. 

Collected approximately 8 cr nett. 

Total is… https://t.co/XIXxQcVE7W"
184,RT @taran_adarsh: IT'S OFFICIAL... Red Chillies Entertainment announces its next film in association with Azure Entertainment... Titled #Ba…
185,Welcome to my new 30 followers and goodbye to 3 unfollowers (FREE stats by https://t.co/bpLMmfMPZE)
186,"Sir, forget BJP , tell us when are you going to pull out of SOFA?😜😜😜

After ruining it? 😂😂

#BJPPDPalliance https://t.co/t1blz37ewv"
187,"Jack of all , master of none 😎 https://t.co/kjdMBB4g6v"
188,"#BJPDumpsPDP

Will this move increase support to the BJP and Modiji?"
189,"Great great move by @BJP4India and @narendramodi ji after long 3 years. It was due and on cards. 

This alliance ha… https://t.co/ITBdx8GWJu"
190,"RT @ashokepandit: Withdrawal of support to @jkpdp is a great decision by the @BJP4India, which we were demanding for long. #GovernorsRule i…"
191,RT @BDUTT: Frankly : 1. The alliance in JK needed to end. It was feeding extremes on both ends. 2. BJP outsmarted Mehbooba on this by leavi…
192,"Considering normal weekday and EID  is not as big holiday occasion like Christmas or Diwali, #Race3 has done god bu… https://t.co/QkzuALcFF1"
193,Happy birthday future PM of India Shri @RahulGandhi 🙏🙏🙏🙏God bless you sir #HappyBirthdayRahulGandhi
194,"CORRECTION:-
#RACE3 collected 14 cr on Monday. Which is more than 50% drop from Friday. 

Tough times ahead. Hope t… https://t.co/B1aYi9a4Oe"
195,@Shrutir93051047 Good morning Shruti
196,"Good morning people. 

Have a great day."
197,"Good night people. 
Love you all. https://t.co/TTD1Aw9W91"
198,"Dude, he can have clash with anyone but thing is other way around. 
No one want clash with Salman https://t.co/7o56s8yvAT"
199,"#Race3 having drop today but not much drop. 
Sure to collect about 18 cr + on Monday. 

Monday test PASSED with first class."
200,Badumbaaaaaa https://t.co/2idt5t8ozN
201,"My week on Twitter 🎉: 244 Mentions, 1.02K Mention Reach, 2.33K Likes, 399 Retweets, 81 New Followers. See yours wit… https://t.co/36Cs7Ti6f0"
202,"My week on Twitter 🎉: 244 Mentions, 1.02K Mention Reach, 2.33K Likes, 399 Retweets, 81 New Followers. See yours wit… https://t.co/Z5w3AMzzqh"
203,"RT @juniorbacchhan: Just in its first few days, #Race3 has collected more than all my movies combined. I’m talking about eggs, tomatoes and…"
204,Tu suspense me hi marega 😜😜 https://t.co/y7YmFradNf
205,Bhai tu mahaan hai.  Salute. 😂😂😂🙏 https://t.co/0KpbGPiemm
206,Last 24 Hours = 13 Followers and 9 Unfollowers (stats by https://t.co/ZIgtIQhsJR app)
207,"If people really want to compare stardom of Salman and Ranbir,

Compare #Race3 with #Besharam

Salman - 100 cr week… https://t.co/3D0ndy7aAJ"
208,"As usual Akki cant touch 150 crore even in CHINA despite widest release 😂😂😂

#ToiletEkPremKatha #TEPKInChina https://t.co/s2Wd2j7vW8"
209,"Our biggest fans this week: @SalmanKhanTimes, @BeingWazir, @arindampanda4. Thank you! via https://t.co/YW3ZTgIYAP https://t.co/xulZuOlXb5"
210,"RT @taran_adarsh: Salman and #Eid - Opening Weekend biz...
2015: #BajrangiBhaijaan ₹ 102.60 cr
[Fri-Sun]
2016: #Sultan ₹ 180.36 cr
[Wed-Sun…"
211,"RT @taran_adarsh: TOP 5 - 2018
Opening Weekend biz...
1. #Padmavaat ₹ 114 cr [5-day *extended* weekend; select previews on Wed, released on…"
212,"RT @taran_adarsh: Salman versus Salman - first 3 days...
#BajrangiBhaijaan ₹ 102.60 cr [Fri-Sun]
#Sultan ₹ 105.53 cr [released on Wed; Wed-…"
213,"RT @taran_adarsh: Salman and #Eid - Opening Weekend biz...
2010: #Dabangg ₹ 48.50 cr
[Fri-Sun]
2011: #Bodyguard ₹ 88.75 cr
[Wed-Sun]
2012:…"
214,RT @taran_adarsh: And #Race3 scores a CENTURY... Crosses 💯 cr… Fourth Salman starrer to collect ₹ 100 cr mark in *3 days* [#BajrangiBhaijaa…
215,"With the success of  #Race3 means NO MORE EXPERIMENTS from @BeingSalmanKhan ???

Whats your take guys?"
216,"केजरीवाल अगर 2 मिनट से ज्यादा टोयलेट में बैठ जाए...तो उनकी पत्नी दरवाजा खटखटा के पूँछती है..

""अजी करने बैठे हो या धरने पे बैठे हो""😂"
217,RT @KapilMishra_IND: Do u regret attacking CS? https://t.co/AIRAcA1WBt
218,"Good night guys. 

#Race3 is doing HAVOC today at the box office. All set for huge Sunday. 

Its tomm which wil dec… https://t.co/NDynPrMKFq"
219,"RT @KapilMishra_IND: ना लोकतंत्र खतरे में हैं
ना हिंदुस्तान ख़तरे में हैं

चंद चोर उच्चकों की
दुकान ख़तरे में हैं"
220,"RT @KapilMishra_IND: केजरीवाल का एक ओर झूठ पकड़ा गया
एलजी के बारे में सुबह सुबह झूठ बोला

नीति आयोग में एलजी के जाने के बारे में बोला केजरी…"
221,RT @KapilMishra_IND: Kejriwal has attended his office only for 15 days in last 115 days
222,"RT @p_sahibsingh: बापू आपके सत्याग्रह का बना दिया है केजरीवाल ने सोफे पर लेट कर मज़ाक

आप ही केजरीवाल को सद्बुद्धि दें कि समस्याओं से ना भा…"
223,"RT @KapilMishra_IND: IAS Association is exposing every single lie of Kejriwal with evidence and facts.

Kejriwal is not only an Habitual Li…"
224,Now what Mr. @ArvindKejriwal have to say? All IAS people are working and this CM is lying day after day.  What a sh… https://t.co/a61GndpB8W
225,Latest Stats = 27 Followers and 12 Unfollowers (tracked by https://t.co/ZIgtIQhsJR)
226,Lol lol lol. He is more than happy for united opposition as this will be his master stroke to unite entire india to… https://t.co/jviDPG0gI5
