,Unnamed: 0,0
248,248,"RT @KapilMishra_IND: केजरीवाल के हमजोली

एक ही काम 

मोदी को गाली 
जनता को गोली https://t.co/r5mt2p1Z3M"
249,249,"Do these opportunits people have anything left to prove? 

No agenda only politics.  Shame https://t.co/orZmYpZ1YW"
250,250,"I DONT own #KRKBoxOffice

Maine block nahi kiya iska shaukar maan aur nikal le https://t.co/FsvrcF23Al"
252,252,Sir why LG shd give time to KAAMCHOR person like @ArvindKejriwal who dont have time for assembly as well as Delhi? https://t.co/8CzLPMHMXY
255,255,"RT @BeingSalmanKhan: Eid Mubarak to all my loved ones .

https://t.co/j0dYsxr9ZZ

#Race3WaaliEid #Race3InCinemas https://t.co/9zPlGpbqjH"
256,256,"RT @KapilMishra_IND: सत्येंद्र जैन भूख हड़ताल में भी घोटाला कर बैठा - चार दिन की भूख हड़ताल के बाद डेढ़ किलो वजन बढ़ चुका हैं

केजरीवाल की…"
257,257,Latest Stats = 14 Followers and 14 Unfollowers (tracked by https://t.co/ZIgtIQhsJR)
258,258,"#Race3
Bhai fans, need HONEST opinion. 

Do you want @BeingSalmanKhan reduce WEIGHT?"
259,259,"Bhai kasam se #IFoundLove is one of the WORST song from #Race3 

And please DONT SING song going forward. 🙏🙏🙏"
260,260,"RT @taran_adarsh: #VeereDiWedding takes a dip, with #Race3 dominating the market share... [Week 3] Fri 70 lakhs. Total: ₹ 77.83 cr. India b…"
261,261,RT @taran_adarsh: #Parmanu gets eclipsed by #Race3 juggernaut... [Week 4] Fri 36 lakhs. Total: ₹ 59.22 cr. India biz.
262,262,"RT @taran_adarsh: #Race3 records a GIGANTIC START, despite pre-Eid making a dent in its business... Emerges the BIGGEST OPENER of 2018 [so…"
263,263,"RT @taran_adarsh: Salman and #Eid - Opening Day biz...
2010: #Dabangg ₹ 14.50 cr
2011: #Bodyguard ₹ 21.60 cr
2012: #EkThaTiger ₹ 32.93 cr
2…"
264,264,"RT @taran_adarsh: TOP 5 - 2018
Opening Day biz...
1. #Race3 ₹ 29.17 cr
2. #Baaghi2 ₹ 25.10 cr
3. #Padmaavat ₹ 19 cr
[Thu release; incl Wed…"
265,265,"RT @taran_adarsh: In the past, three Salman starrers have crossed ₹ 100 cr mark in *3 days*:
#BajrangiBhaijaan ₹ 102.60 cr [Fri-Sun]
#Sulta…"
